"type","x","y","z","vx","vy","vz","fx","fy","fz","omegax","omegay","omegaz","radius"
0,0.443343,-1.19917,0.0299094,-1.07E-06,-8.83E-07,7.01E-07,-8.66E-05,2.72E-05,-9.29E-05,6.46E-06,-1.55E-05,2.74E-05,0.03
0,-0.759542,-1.16122,0.029951,-1.65E-06,-1.90E-06,-5.26E-07,-6.71E-05,4.59E-06,-4.36E-05,2.68E-05,-1.58E-06,-6.06E-05,0.03
0,-0.662016,-1.14561,0.0299318,6.60E-08,-3.78E-07,3.56E-07,-0.000217509,-3.82E-08,1.55E-05,-6.88E-06,1.71E-06,9.09E-05,0.03
0,-0.545776,-1.15932,0.029874,5.25E-06,2.09E-06,-1.67E-07,-0.000393666,-5.68E-05,0.000112714,-3.44E-05,8.79E-05,-7.89E-05,0.03
0,-0.362879,-1.15033,0.0299273,4.57E-06,1.84E-06,2.71E-06,-0.000240695,-0.000158686,0.000452093,2.36E-05,2.62E-05,-1.56E-05,0.03
0,-0.204911,-1.1703,0.0298809,2.88E-06,-2.99E-06,3.75E-07,-0.000218266,-0.00010902,8.77E-05,7.65E-05,4.02E-05,9.25E-06,0.03
0,0.0107123,-1.1441,0.0299389,2.99E-06,4.28E-06,3.27E-06,-0.000212998,1.60E-05,2.03E-05,-3.42E-05,3.42E-05,5.91E-05,0.03
0,0.107479,-1.16468,0.0299106,-2.11E-06,3.93E-06,3.84E-07,-0.000131746,7.16E-05,5.31E-05,-6.09E-05,-3.71E-05,-1.08E-05,0.03
0,0.262419,-1.14697,0.0298979,-2.02E-06,-2.35E-07,3.95E-07,-6.64E-05,-8.68E-06,3.68E-05,7.94E-06,-3.48E-05,-9.29E-06,0.03
0,0.351758,-1.14614,0.0298983,-2.11E-06,-8.27E-07,1.05E-06,-8.49E-05,-3.98E-05,4.89E-05,1.91E-05,-2.10E-05,-9.91E-06,0.03
0,0.412806,-1.14036,0.0299376,-3.27E-07,-5.92E-07,4.65E-07,7.22E-06,-1.69E-05,3.33E-05,1.41E-05,-1.31E-06,9.81E-05,0.03
0,0.521662,-1.15675,0.029916,-8.65E-07,-1.40E-06,-6.45E-07,-0.000358633,7.52E-05,1.21E-05,1.56E-05,-1.85E-05,5.96E-05,0.03
0,0.581585,-1.15414,0.0299166,6.97E-07,1.62E-06,-1.41E-07,-0.000653034,-9.12E-05,-1.86E-05,-5.14E-05,-4.32E-06,3.82E-05,0.03
0,0.652008,-1.15851,0.0299504,-5.46E-16,-6.59E-16,9.78E-15,3.94E-14,4.75E-14,0,1.17E-14,-9.66E-15,5.30764,0.03
0,0.714427,-1.14702,0.029951,-3.90E-06,3.23E-08,1.33E-06,0.000383173,-2.08E-05,-0.000161169,1.02E-05,-5.39E-05,8.66E-05,0.03
0,0.774184,-1.14014,0.0299516,-9.69E-08,-9.53E-08,-2.84E-07,2.67E-05,-1.12E-05,9.12E-06,-2.89E-06,-4.39E-06,3.42E-06,0.03
0,0.827924,-1.16678,0.0299513,-1.69E-08,5.44E-08,-3.03E-08,1.10E-05,-6.84E-06,-2.38E-06,-1.22E-06,-8.40E-07,8.78E-07,0.03
0,-0.888814,-1.13387,0.0299536,2.68E-07,9.52E-08,8.91E-08,-4.97E-05,-2.58E-05,-1.93E-05,2.52E-07,3.42E-06,-1.15E-05,0.03
0,-0.79104,-1.11019,0.0299291,1.10E-06,3.20E-08,1.21E-06,-4.66E-05,6.63E-05,-0.000128393,1.08E-05,-1.94E-06,-1.35E-05,0.03
0,-0.110302,-1.13567,0.0298869,3.91E-06,-1.34E-06,1.34E-06,-0.000189279,9.25E-05,-7.13E-06,2.42E-05,6.02E-05,-1.30E-05,0.03
0,-0.0513204,-1.12493,0.0298509,2.66E-06,-6.44E-07,2.28E-06,-0.000282372,0.000160374,0.000167497,2.11E-05,2.37E-05,6.43E-05,0.03
0,0.146582,-1.11446,0.0298779,-1.42E-06,2.18E-06,4.25E-07,-0.000159531,3.26E-05,-7.51E-06,-3.79E-05,-2.48E-05,-6.83E-05,0.03
0,0.206308,-1.12424,0.0298731,-2.28E-06,6.55E-07,1.23E-06,-0.000129369,3.42E-05,2.79E-05,-2.04E-05,-4.84E-05,-2.45E-05,0.03
0,0.483561,-1.11044,0.0298589,-1.87E-06,-2.43E-06,-1.41E-07,-0.00016071,0.00015692,-1.01E-05,2.98E-05,-2.97E-05,3.15E-06,0.03
0,0.618954,-1.10724,0.029949,-2.61E-06,2.48E-06,-1.61E-06,-0.000302346,-0.000472738,0.000115124,-2.11E-05,-1.87E-05,0.000173357,0.03
0,-0.686994,-1.09113,0.0298663,6.90E-07,-1.30E-06,-4.77E-07,-0.000217732,0.000287578,-3.51E-05,-4.66E-06,-3.01E-05,-0.000250085,0.03
